"country_code","year","conference","delegates","location","polity2","regqual","distance","opecdummy","logpop","logco2percap","loggdppercap","unsc","g20","envministry","envrecipient","envdonor","envcpia","envtreaty","logbiodiversity","wbeb","cdmdonor","cdmhost","foodprod","lognatdiaster","loggefdon","corrupt_control","corrupt_perception","corrupt_parking","fossil_fuel_use","log_fossil_fuel_use","dem_dummy"
"ALB",2009,"COP15",16,"Copenhagen",9,0.247665405,1679.912,0,6.498473901,-0.407823243,3.614278528,0,0,NA,2540459.629,NA,NA,NA,-0.719114896,0,0,0,0.0401177,0,0,-0.778729438781738,NA,85.5,NA,NA,1
"ARG",2009,"COP15",17,"Copenhagen",8,-0.846204221,12089.47,0,7.602316594,0.090258053,3.975756599,0,1,NA,1705630.164,NA,NA,NA,1.258046695,1,0,1,-0.1735301,0,5.202409298,-0.445909202098846,NA,4,730.0044,6.59305056152153,1
"AUS",2009,"COP15",98,"Copenhagen",10,1.816936135,16054.1,0,7.338033947,0.674952948,4.630450233,0,1,NA,NA,47373189.57,NA,NA,1.962484145,1,1,0,0.0159607,3.998041264,7.130689503,1.97750723361969,NA,0,1450.3665,7.27957156209723,1
"AUT",2009,"COP15",53,"Copenhagen",10,1.464869976,868.5304,0,6.922480223,0.316180099,4.678101127,1,0,NA,NA,3764529.75,NA,NA,-0.473299907,1,1,0,-0.016654,NA,6.963000498,1.42725443840027,NA,2.2,267.22955,5.58810802686509,1
"BDI",2009,"COP15",18,"Copenhagen",6,-1.147977591,6746.239,0,6.950690307,-1.958607315,2.28980441,0,0,NA,1597180.466,NA,3,NA,-0.384662758,1,0,0,0.0621819,5.255274918,0,-1.46860635280609,NA,38.2,NA,NA,1
"BEL",2009,"COP15",93,"Copenhagen",8,1.322239161,767.1575,0,7.033282708,0.416806872,4.653204808,0,0,NA,NA,11127157.31,NA,NA,-1.935735277,1,1,0,0.0399179,NA,7.497792318,1.55911040306091,NA,2.7,571.00775,6.34740278224341,1
"BEN",2009,"COP15",11,"Copenhagen",7,-0.328782767,5555.601,0,6.965708772,-0.850780887,2.852812545,0,0,NA,1195519.542,NA,3.5,NA,-0.633145932,0,0,0,0.0132022,0,0,-0.857918381690979,NA,50.4,NA,NA,1
"BGR",2009,"COP15",15,"Copenhagen",9,0.66209501,1639.385,0,6.879963086,0.193402903,3.828537475,0,0,NA,NA,NA,NA,NA,-0.062572407,0,0,0,-0.079906,0,0,-0.281460791826248,NA,119,150.88222,5.01649953245665,1
"BOL",2009,"COP15",75,"Copenhagen",7,-0.85574311,10961.65,0,6.999713532,-0.407823243,3.239335365,0,0,NA,10478259.84,NA,4,NA,1.120516344,0,0,1,0.0710297,0,0,-0.727891862392426,NA,3.1,NA,NA,1
"BRA",2009,"COP15",566,"Copenhagen",8,0.10953667,10431.67,0,8.286660594,-0.283162277,3.934639623,0,1,NA,29508110.09,NA,NA,NA,2,1,0,1,0.0023975,0,0,-0.0468542315065861,NA,30.3,1554.6952,7.34903479253857,1
"BWA",2009,"COP15",25,"Copenhagen",8,0.484439999,9039.496,0,6.2904164,-0.21395879,3.721031747,0,0,NA,461120.3086,NA,NA,NA,0.161172289,0,0,0,0.0509062,0,0,0.90651535987854,NA,18.7,NA,NA,1
"CAN",2009,"COP15",207,"Copenhagen",10,1.697224379,6257.225,0,7.527976618,0.612889769,4.610278299,0,1,NA,NA,61050443.55,NA,NA,1.339535532,1,1,0,-0.0234189,0,7.483568234,1.91890442371368,NA,0,2391.9766,7.77987533241398,1
"CHE",2009,"COP15",37,"Copenhagen",10,1.578278422,1033.508,0,6.888955866,0.164650216,4.843058331,0,0,NA,NA,22328682.36,NA,NA,-0.623177375,1,1,0,0.0271554,NA,7.342096838,2.13839817047119,NA,0.1,181.50452,5.20128055697608,1
"CHL",2009,"COP15",47,"Copenhagen",10,1.480074286,12644.59,0,7.230237573,0.029789471,4.005182175,0,0,NA,2254965.863,NA,NA,NA,1.197027624,1,0,1,-0.0028563,0,0,1.54359126091003,NA,16.7,273.00623,5.6094946154374,1
"COL",2009,"COP15",40,"Copenhagen",7,0.151947513,9443.786,0,7.660889762,-0.396855627,3.707994997,0,0,NA,5715035.527,NA,NA,NA,1.735504206,1,0,1,-0.0343299,0,0,-0.422298341989517,NA,0,282.66748,5.64427122447814,1
"COM",2009,"COP15",6,"Copenhagen",9,-1.553546309,8020.091,0,5.823537478,-1.292429824,2.895924131,0,0,NA,16280.04492,NA,3,NA,0.353334192,0,0,0,-0.0130563,NA,0,-0.781551659107208,NA,10.1,NA,NA,1
"CPV",2009,"COP15",7,"Copenhagen",10,0.01849547,5479.354,0,5.686380622,-0.76700389,3.54707661,0,0,NA,2715954.843,NA,4.5,NA,0.451157607,0,0,0,0.0006351,0,0,0.885680317878723,NA,NA,NA,NA,1
"CRI",2009,"COP15",39,"Copenhagen",10,0.456345916,9513.696,0,6.662892253,-0.345823458,3.805199372,1,0,NA,3193954.075,NA,NA,NA,1.017289033,0,0,0,0.0249667,0,0,0.570753693580627,NA,10.2,NA,NA,1
"CYP",2009,"COP15",29,"Copenhagen",10,1.373950601,2777.919,0,6.037646777,0.307709923,4.500695477,0,0,NA,NA,NA,NA,NA,-0.322923469,0,0,1,-0.0513639,0,0,1.24330234527588,NA,2.5,NA,NA,1
"CZE",2009,"COP15",53,"Copenhagen",8,1.325010777,631.8411,0,7.020658639,0.447313109,4.294432982,0,0,NA,NA,NA,NA,NA,-0.90967661,0,0,0,-0.048245,NA,0,0.310179650783539,NA,19.1,403.8886,6.00113909736292,1
"DEU",2009,"COP15",128,"Copenhagen",10,1.525783181,595.8536,0,7.913296135,0.373095987,4.619837077,0,1,NA,NA,261256948.9,NA,NA,-0.185764258,1,1,0,0.0214901,NA,8.142175082,1.81763017177582,NA,1,3018.4321,8.01249280336694,1
"DNK",2009,"COP15",528,"Copenhagen",10,1.896200895,78.08043,0,6.742182513,0.342620043,4.762644818,0,0,NA,NA,32356691.8,NA,NA,-0.796920723,0,1,0,0.0044184,0,7.192962791,2.3824622631073,NA,0,185.03546,5.22054748238657,1
"DOM",2009,"COP15",25,"Copenhagen",8,-0.191370383,7851.591,0,6.99494438,-0.243363892,3.685292036,0,0,NA,3324170.722,NA,NA,NA,0.804418125,0,0,0,0.110086,0,0,-0.897264659404755,NA,0.1,NA,NA,1
"ESP",2009,"COP15",162,"Copenhagen",10,1.175359249,2074.977,0,7.661893992,0.23578087,4.509652263,0,0,NA,NA,134545743.7,NA,NA,0.828353668,1,1,0,0.0133381,0,0,1.17040634155273,NA,12.9,1312.6128,7.17977493363005,1
"EST",2009,"COP15",22,"Copenhagen",9,1.407114744,836.2802,0,6.127192621,0.490099005,4.167858819,0,0,NA,NA,NA,NA,NA,-1.279096111,0,0,0,0.0892959,NA,0,1.08829832077026,NA,10.7,57.060886,4.0441188731797,1
"FIN",2009,"COP15",74,"Copenhagen",10,1.832765937,884.6371,0,6.727449427,0.433129518,4.673086883,0,0,NA,NA,53780669.12,NA,NA,-0.752914848,0,1,0,0.0057831,NA,7.059093884,2.22684669494629,NA,0.1,212.70073,5.35988615426424,1
"FRA",2009,"COP15",274,"Copenhagen",9,1.213120341,1027.609,0,7.810923887,-3,4.619445887,1,1,NA,NA,322145449,NA,NA,0.663725957,1,1,0,0.0294785,0,7.634074025,1.4719694852829,NA,6.2,1587.6765,7.37002690568905,1
"GBR",2009,"COP15",111,"Copenhagen",10,1.591483474,959.5936,0,7.79106596,0.31827208,4.569100432,1,1,NA,NA,644763236.2,NA,NA,0.454417133,1,1,0,-0.0309935,NA,7.758540995,1.66546046733856,NA,0,2158.6113,7.677220377252,1
"GEO",2009,"COP15",33,"Copenhagen",6,0.51722002,2792.791,0,6.644527212,-0.407823243,3.387560897,0,0,NA,1115386.425,NA,4.5,NA,-0.17598334,0,0,1,0.0048661,0,0,0.39742112159729,NA,9.8,NA,NA,1
"GHA",2009,"COP15",60,"Copenhagen",8,0.090179458,5693.608,0,7.374593163,-1.040958608,3.040010005,0,0,NA,1805645.124,NA,4.5,NA,0.281599414,0,0,0,0.0763612,NA,0,-0.126568555831909,NA,11.4,NA,NA,1
"GRC",2009,"COP15",80,"Copenhagen",10,0.817783415,2135.535,0,7.05241535,0.367542274,4.469608642,0,0,NA,NA,5663430.224,NA,NA,0.462853884,0,0,0,-0.0011592,3.01745073,6.596042797,-0.19037801027298,NA,0,372.62973,5.92058524564461,1
"GTM",2009,"COP15",45,"Copenhagen",8,-0.118225455,9474.678,0,7.145786298,-0.617982957,3.430942579,0,0,NA,4603006.673,NA,NA,NA,0.926642694,0,0,1,0.0390038,6.397940182,0,-0.678762555122375,NA,0.1,NA,NA,1
"GUY",2009,"COP15",16,"Copenhagen",6,-0.603255928,8194.224,0,5.892681617,-0.258848401,3.413864586,0,0,NA,123624.9528,NA,4,NA,0.491186628,0,0,0,0.0812244,0,0,-0.761781573295593,NA,2.3,NA,NA,1
"HND",2009,"COP15",3,"Copenhagen",7,-0.264272124,9329.007,0,6.873311532,-0.536107011,3.29066891,0,0,NA,4728643.582,NA,3.5,NA,0.87990815,0,0,1,-0.055819,4.653222165,0,-0.955132007598877,NA,5.5,NA,NA,1
"HRV",2009,"COP15",22,"Copenhagen",9,0.547920346,1123.37,0,6.64630568,0.130655349,4.150515463,1,0,NA,220455.3673,NA,NA,NA,-0.236335985,0,0,0,0.0599637,0,0,-0.0254572927951813,NA,6.6,85.492805,4.44843222035495,1
"HUN",2009,"COP15",32,"Copenhagen",10,1.080320001,1011.98,0,7.000982565,0.124178055,4.110816911,0,0,NA,NA,NA,NA,NA,-0.781461575,0,0,0,-0.1105022,0,0,0.298703163862228,NA,3.3,220.37941,5.39535065186211,1
"IDN",2009,"COP15",303,"Copenhagen",8,-0.333092928,10841.68,1,8.375639648,-0.283162277,3.356416265,0,0,NA,480951654.6,NA,NA,NA,1.931753131,1,0,1,0.0617666,0,0,-0.689105808734894,NA,36.5,1546.658,7.34385175308822,1
"IND",2009,"COP15",77,"Copenhagen",9,-0.303230345,5852.457,0,9.075597347,-0.345823458,3.059653478,0,1,NA,28261427.89,NA,4,NA,1.622312187,1,0,1,-0.0238638,0,6.314802568,-0.513968110084534,NA,6.2,5552.823,8.62206172607126,1
"IRL",2009,"COP15",46,"Copenhagen",10,1.700408459,1240.498,0,6.649231823,0.396373728,4.711778837,0,0,NA,NA,3108087.576,NA,NA,-0.187391529,0,1,0,-0.0283813,NA,0,1.45570015907288,NA,0,164.15132,5.1007886853408,1
"ISR",2009,"COP15",88,"Copenhagen",10,1.108985424,3141.281,0,6.874226616,0.383994789,4.44064462,0,0,NA,NA,NA,NA,NA,-0.080819478,0,0,1,0.0114646,0,0,0.902115404605865,NA,0,254.91614,5.54093462832612,1
"ITA",2009,"COP15",61,"Copenhagen",10,0.945122182,1534.086,0,7.77954381,-3,4.568144292,0,1,NA,NA,15296086.66,NA,NA,0.61300922,1,1,0,0.0273166,0,0,0.172010645270348,NA,14.8,1762.9906,7.4747668505629,1
"JAM",2009,"COP15",12,"Copenhagen",9,0.275085658,8336.377,0,6.430655448,-0.064996849,3.65532324,0,0,NA,239147.9885,NA,NA,NA,0.670559179,0,0,0,0.017077,0,0,-0.285973221063614,NA,0,NA,NA,1
"JPN",2009,"COP15",176,"Copenhagen",10,1.090209961,8702.536,0,8.105707558,0.373095987,4.594642278,1,1,NA,NA,334055146.4,NA,NA,1.587326369,1,1,0,-0.0143313,0,0,1.61894869804382,NA,0,4527.235,8.41786665684632,1
"KEN",2009,"COP15",148,"Copenhagen",7,-0.133588031,6710.183,0,7.600152884,-1.091514981,2.968301269,0,0,NA,70675364.18,NA,4,NA,0.971819809,0,0,0,0.0570836,0,0,-1.09887766838074,NA,7.8,NA,NA,1
"KOR",2009,"COP15",261,"Copenhagen",8,0.839262426,7955.016,0,7.691806185,0.459543258,4.263368697,0,1,NA,NA,103910198.6,NA,NA,0.249724775,1,0,1,0.0288587,0,6.204116454,0.495882242918015,NA,0.4,2399.5547,7.78303845745439,1
"LBN",2009,"COP15",62,"Copenhagen",7,-0.031230714,2997.819,0,6.628074489,0.127428778,3.917722759,0,0,NA,5678167.284,NA,NA,NA,-0.755857175,0,0,0,-0.0998764,0,0,-0.8656907081604,NA,1.4,NA,NA,1
"LBR",2009,"COP15",39,"Copenhagen",6,-1.191209674,5867.398,0,6.582227045,-1.387216143,2.480409708,0,0,NA,664368.8711,NA,2.5,NA,0.438685811,1,0,0,0.0086846,NA,0,-0.60703831911087,NA,13.7,NA,NA,1
"LKA",2009,"COP15",10,"Copenhagen",6,-0.263823599,7968.923,0,7.310693312,-0.76700389,3.313240217,0,0,NA,1587991.501,NA,4.5,NA,0.85978471,0,0,1,-0.0142603,0,0,-0.241880506277084,NA,17.4,NA,NA,1
"LSO",2009,"COP15",32,"Copenhagen",8,-0.622550786,9564.355,0,6.298825359,-0.536107011,2.93454408,0,0,NA,124495.4258,NA,3.5,NA,-0.51128633,0,0,0,-0.0033145,0,0,0.126534461975098,NA,19.1,NA,NA,1
"LTU",2009,"COP15",33,"Copenhagen",10,0.949950039,815.5106,0,6.523675726,0.037824751,4.073245929,0,0,NA,NA,NA,NA,NA,-1.586864846,0,0,0,0.0340767,0,0,0.386670023202896,NA,2.1,58.401016,4.06733328694312,1
"LUX",2009,"COP15",28,"Copenhagen",10,1.658643603,802.2173,0,5.697040061,0.755188586,5.003181908,0,0,NA,NA,13251004.54,NA,NA,-2.668425534,0,1,0,0.0017376,NA,6.523014946,2.1143639087677,NA,NA,46.34103,3.83602774577491,1
"LVA",2009,"COP15",29,"Copenhagen",8,0.989444494,724.3204,0,6.353114575,-0.021819483,4.086804421,0,0,NA,NA,NA,NA,NA,-1.334898714,0,0,0,-0.0278182,NA,0,0.238223135471344,NA,0,33.828762,3.52131138738462,1
"MDA",2009,"COP15",7,"Copenhagen",8,-0.128503606,1479.282,0,6.552132986,-0.467245621,3.183419648,0,0,NA,153507.0269,NA,4,NA,-1.905172987,0,0,1,-0.1349168,0,0,-0.614259123802185,NA,0.7,NA,NA,1
"MEX",2009,"COP15",30,"Copenhagen",8,0.23440218,9522.823,0,8.066037861,0.025715384,3.885760305,1,1,NA,107643765.5,NA,NA,NA,1.858819582,1,0,1,-0.0027528,0,6.308341039,-0.484527587890625,NA,4,1991.0186,7.59640164605974,1
"MKD",2009,"COP15",22,"Copenhagen",9,NA,1651.324,0,6.322334678,0.053462605,3.650873413,0,0,NA,1853102.257,NA,NA,NA,-0.672720018,0,0,1,-0.0069861,0,0,-0.0511750727891922,NA,3.3,27.881226,3.32795355910052,1
"MLI",2009,"COP15",83,"Copenhagen",7,-0.390619636,5105.362,0,7.132237142,-1.677780705,2.820287989,0,0,NA,7502876.742,NA,3.5,NA,0.184226952,0,0,0,0.0884328,0,0,-0.831212103366852,NA,37.9,NA,NA,1
"MNE",2009,"COP15",24,"Copenhagen",9,-0.036974512,1328.871,0,5.79197681,-0.096367484,3.825950294,NA,0,NA,4316026.638,NA,NA,NA,NA,0,0,0,-0.0410094,0,0,-0.129764124751091,NA,NA,NA,NA,1
"MNG",2009,"COP15",28,"Copenhagen",10,-0.276755333,6036.328,0,6.426872698,0.053462605,3.234357735,0,0,NA,2801711.329,NA,4,NA,0.633551025,0,0,0,0.1878147,0,0,-0.535095810890198,NA,10.3,NA,NA,1
"MUS",2009,"COP15",13,"Copenhagen",10,0.869707048,9440.806,0,6.105521085,-0.085656843,3.850174055,0,0,NA,9813.501953,NA,NA,NA,0.573011304,1,0,0,0.0415115,0,0,0.252168297767639,NA,20.7,NA,NA,1
"MWI",2009,"COP15",53,"Copenhagen",6,-0.441867262,8001.113,0,7.163559038,-1.677780705,2.538064331,0,0,NA,3970609.562,NA,3.5,NA,0.571897867,0,0,0,0.1326013,0,0,-0.477253526449203,NA,13.2,NA,NA,1
"MYS",2009,"COP15",108,"Copenhagen",6,0.307567298,9673.563,0,7.44389361,0.301247089,3.862010935,0,0,NA,1959753.717,NA,NA,NA,1.156868964,1,0,1,0.0013905,0,0,0.213312953710556,NA,1.4,879.30756,6.77913473409621,1
"NAM",2009,"COP15",48,"Copenhagen",6,0.10311798,8717.841,0,6.331123083,-0.386158178,3.617057258,0,0,NA,1517703.326,NA,NA,NA,0.74197592,0,0,0,0.0174537,0,0,0.321495771408081,NA,4.3,NA,NA,1
"NIC",2009,"COP15",14,"Copenhagen",9,-0.407018304,9455.436,0,6.759163695,-0.655607726,3.164118251,0,0,NA,5833631.19,NA,3.5,NA,0.533481467,0,0,1,0.0885782,0,0,-0.781678140163422,NA,4.9,NA,NA,1
"NLD",2009,"COP15",76,"Copenhagen",10,1.711245775,622.9741,0,7.218283047,0.445759836,4.715247556,0,0,NA,NA,17718642.85,NA,NA,-0.873647493,1,1,0,0.0361013,NA,0,2.09058332443237,NA,0,1030.8833,6.93817128653374,1
"NOR",2009,"COP15",171,"Copenhagen",10,1.470167041,485.3148,0,6.683832563,0.469969209,4.903186481,0,0,NA,NA,156354481.5,NA,NA,0.163916235,1,1,0,-0.0244093,NA,6.929116081,2.24798226356506,NA,0,166.81416,5.11688037840785,1
"NPL",2009,"COP15",94,"Copenhagen",6,-0.700659394,6439.131,0,7.423981797,-1.387216143,2.685089793,0,0,NA,11532951.56,NA,4,NA,0.34157613,0,0,0,0.046329,5.481444062,0,-0.814642906188965,NA,16.7,NA,NA,1
"NZL",2009,"COP15",32,"Copenhagen",10,1.832613707,18247.02,0,6.635061311,0.309843005,4.447135725,0,0,NA,NA,8901474.393,NA,NA,1.327295951,0,0,0,0.0056381,0,0,2.30788779258728,NA,0.1,142.36137,4.95836868408543,1
"PAN",2009,"COP15",12,"Copenhagen",9,0.376630694,9325.499,0,6.558209925,-0.186419011,3.855510515,0,0,NA,770988.7126,NA,NA,NA,1.054884687,0,0,1,-0.0593696,0,0,-0.395119667053223,NA,0,NA,NA,1
"PER",2009,"COP15",34,"Copenhagen",9,0.401355535,11103.5,0,7.461413025,-0.317854924,3.622061489,0,0,NA,13015844.4,NA,NA,NA,1.542065406,1,0,1,0.0254569,0,0,-0.404069632291794,NA,3.1,139.5307,4.93828464873379,1
"PHL",2009,"COP15",112,"Copenhagen",8,-0.092432216,9785.596,0,7.963251237,-0.655607726,3.262922259,0,0,NA,5687768.762,NA,NA,NA,1.519002346,0,0,1,0,0,0,-0.573895454406738,NA,11.7,274.25897,5.61407280600424,1
"POL",2009,"COP15",81,"Copenhagen",10,0.95291543,668.9079,0,7.58151279,0.32858345,4.058447971,0,0,NA,NA,NA,NA,NA,-0.262401678,0,0,0,0.0419626,0,0,0.659753620624542,NA,1.7,1060.0883,6.9661074855235,1
"PRT",2009,"COP15",54,"Copenhagen",10,0.971567333,2478.47,0,7.026634656,0.149527014,4.36293412,0,0,NA,NA,5021700.627,NA,NA,0.667602138,0,1,0,0.0385933,0,0,0.955447733402252,NA,8.9,234.70938,5.45834806797229,1
"PRY",2009,"COP15",36,"Copenhagen",8,-0.420865208,11170.23,0,6.802594704,-0.718966633,3.399722526,0,0,NA,1464376.082,NA,NA,NA,0.48424481,0,0,1,-0.1635566,5.301032167,0,-0.850602805614471,NA,13.2,NA,NA,1
"SEN",2009,"COP15",101,"Copenhagen",7,-0.28542155,5239.261,0,7.099916263,-0.882728704,3.007734374,0,0,NA,3978750.334,NA,3.5,NA,0.061262371,0,0,0,0.0957165,0,0,-0.25842273235321,NA,80.2,NA,NA,1
"SLB",2009,"COP15",26,"Copenhagen",8,-1.216974616,14155.03,0,5.71177687,-0.995678626,3.064751631,0,0,NA,880031.8672,NA,3,NA,0.645363262,0,0,0,-0.0824928,0,0,-0.357465267181396,NA,NA,NA,NA,1
"SLE",2009,"COP15",12,"Copenhagen",7,-0.777370512,5719.944,0,6.751370111,-1.508638306,2.638486722,0,0,NA,269981.1533,NA,3.5,NA,0.147605586,0,0,0,0.2100978,0,0,-0.957400441169739,NA,25.9,NA,NA,1
"SLV",2009,"COP15",5,"Copenhagen",8,0.35322535,9483.805,0,6.791233241,-0.55129368,3.523918096,0,0,NA,1485010.399,NA,NA,NA,-0.064035744,0,0,0,-0.0101004,0,0,-0.41251277923584,NA,1.7,NA,NA,1
"SRB",2009,"COP15",23,"Copenhagen",8,-0.117673188,1328.871,0,6.864558958,0.114277297,3.765020384,NA,0,NA,2851693.654,NA,NA,NA,-0.617370425,0,0,0,0.0581307,NA,0,-0.357432961463928,NA,NA,NA,NA,1
"SVK",2009,"COP15",29,"Copenhagen",10,1.057456493,891.5908,0,6.733886291,0.23325001,4.216302263,0,0,NA,NA,NA,NA,NA,-0.898021619,0,0,0,-0.125638,0,0,0.0692804977297783,NA,6.5,139.6745,4.93931471560013,1
"SVN",2009,"COP15",28,"Copenhagen",10,0.913655221,1076.812,0,6.309559695,0.31196566,4.391531342,0,0,NA,NA,NA,NA,NA,-0.76859938,0,0,0,-0.0237122,NA,6.185383692,0.832158982753754,NA,5.3,56.981194,4.04272128357117,1
"SWE",2009,"COP15",207,"Copenhagen",10,1.671290398,523.7871,0,6.968413596,0.10754913,4.664708329,0,0,NA,NA,104798394,NA,NA,-0.499872975,1,1,0,0.0081334,NA,0,2.27712059020996,NA,0,217.04445,5.38010217127355,1
"TTO",2009,"COP15",8,"Copenhagen",10,0.537296057,8045.578,0,6.121401592,0.998738716,4.161336942,0,0,NA,6438.27211,NA,NA,NA,0.367376208,0,0,0,0.0476499,0,0,-0.182379499077797,NA,1.4,216.39868,5.37712244713857,1
"TUR",2009,"COP15",122,"Copenhagen",7,0.29880774,2018.479,0,7.852730495,0.025715384,3.9358295,1,1,NA,1670904.915,NA,NA,NA,0.785420521,0,0,0,0.0320153,0,6.20499854,0.161344781517982,NA,0,1087.6221,6.99174903252245,1
"UKR",2009,"COP15",43,"Copenhagen",7,-0.570820034,1328.55,0,7.663260755,0.184975191,3.405769747,0,0,NA,17174630.07,NA,NA,NA,-0.355282553,0,0,0,0.0206962,0,0,-1.11753916740417,NA,13.1,1074.4341,6.97954938335019,1
"URY",2009,"COP15",11,"Copenhagen",10,0.365130454,11993.66,0,6.526394982,-0.179798541,3.974128428,0,0,NA,549462.0457,NA,NA,NA,0.127420775,0,0,0,0.0192919,0,0,1.37811684608459,NA,4.5,NA,NA,1
"ZAF",2009,"COP15",112,"Copenhagen",9,0.401185155,9988.126,0,7.693024389,0.408409578,3.771744943,0,1,NA,6630971.327,NA,NA,NA,1.345006778,0,0,1,NA,0,6.046562485,-0.184170603752136,NA,34.5,1412.9556,7.25343895968552,1
"ZMB",2009,"COP15",56,"Copenhagen",7,-0.502449512,8052.978,0,7.108058424,-1.292429824,3.077436767,0,0,NA,9658667.61,NA,4,NA,0.64303451,0,0,0,0.2737384,0,0,-0.291441261768341,NA,61.2,NA,NA,1
